! -----------------------------------------------------
! Lake Erie 2002-14
! Inflow (Cuyahoga River)
! File prepared by LL
! -----------------------------------------------------
22  data sets																						   
0 seconds between data																						   
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	   
DAY	INFLOW	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PO4	DOPL	POPL	PIP	NH4	NO3	DONL	PONL	DOCL	POCL	SiO2	FDIAT	MDIAT	CRYPT	CHLOR	CYANO	   
2002005.833	7.8	0.10	0.283	34.8	0	13.87	0.084	0.0061	0.0514	0.045	0.02	4.23	0.75	0.32	2	0.2	8.97	0.1	0.72	0.14	0.0	0.02
2002006.833	8.2	0.14	0.283	17.3	0	14.54	0.066	0.0047	0.0492	0.044	0.02	3.72	0.65	0.28	2	0.2	8.16	0.1	0.72	0.14	0.0	0.02
2002007.833	9.3	0.10	0.283	17.3	0	14.55	0.154	0.0111	0.0452	0.034	0.02	3.61	0.65	0.28	2	0.2	8.67	0.1	0.72	0.14	0.0	0.02
2002008.833	9.1	0.10	0.283	8.4	0	14.55	0.121	0.0087	0.0446	0.036	0.02	3.87	0.71	0.30	2	0.2	8.46	0.1	0.72	0.14	0.0	0.02
2002009.833	9.3	4.81	0.283	10.4	0	12.85	0.103	0.0074	0.0416	0.034	0.02	3.59	0.63	0.27	2	0.2	8.13	0.1	0.72	0.14	0.0	0.02
2002010.833	12.2	2.07	0.283	40.7	0	13.80	0.082	0.0059	0.0405	0.035	0.02	3.45	0.62	0.27	2	0.2	7.28	0.1	0.72	0.14	0.0	0.02
2002011.833	13.1	1.21	0.283	15.8	0	14.12	0.102	0.0074	0.0398	0.032	0.02	3.13	0.58	0.25	2	0.2	7.48	0.1	0.72	0.14	0.0	0.02
2002012.833	12.0	2.25	0.283	10.6	0	13.74	0.091	0.0065	0.0343	0.028	0.02	2.97	0.54	0.23	2	0.2	8.10	0.1	0.72	0.14	0.0	0.02
2002013.167	13.4	0.51	0.283	14.4	0	14.39	0.166	0.0120	0.0413	0.029	0.02	2.98	0.51	0.22	2	0.2	8.25	0.1	0.72	0.14	0.0	0.02
2002013.500	13.5	0.10	0.283	11.8	0	14.55	0.110	0.0079	0.0329	0.025	0.02	2.74	0.48	0.20	2	0.2	8.08	0.1	0.72	0.14	0.0	0.02
2002014.500	12.4	0.10	0.283	13.3	0	14.55	0.100	0.0072	0.0340	0.027	0.02	2.68	0.47	0.20	2	0.2	7.75	0.1	0.72	0.14	0.0	0.02
2002015.500	12.3	0.87	0.283	11.6	0	14.25	0.083	0.0060	0.0311	0.025	0.02	3.13	0.53	0.23	2	0.2	7.94	0.1	0.72	0.14	0.0	0.02
2002016.500	12.5	0.10	0.283	7.6	0	14.55	0.081	0.0058	0.0296	0.024	0.02	2.87	0.51	0.22	2	0.2	7.83	0.1	0.72	0.14	0.0	0.02
2002017.500	11.7	0.10	0.283	8.3	0	14.55	0.068	0.0049	0.0300	0.025	0.02	2.79	0.50	0.22	2	0.2	7.66	0.1	0.72	0.14	0.0	0.02
2002018.500	11.0	0.10	0.283	5.1	0	14.55	0.077	0.0056	0.0297	0.024	0.02	2.96	0.50	0.22	2	0.2	7.84	0.1	0.72	0.14	0.0	0.02
